Trade Date,Display,Shares In Issue,Open Price,Close Price
07/06/2021,REIZ,"56,460,198.00",0.80,0.8
07/06/2021,ZMFA,"27,090,100.00",4.78,4.78
07/06/2021,ZNCO,"1,443,750,041.28",0.70,0.7
07/06/2021,ZCCM,"160,800,286.00",38.00,38
07/06/2021,ZFCO,"400,000,000.00",1.95,1.95
07/06/2021,BATZ,"212,456,304.00",1.80,1.8
07/06/2021,NATB,"63,000,000.00",9.21,9.21
07/06/2021,PUMA,"500,000,000.00",1.47,1.47
07/06/2021,SHOP,"2,700,000.00",63.01,63.01
07/06/2021,CCAF,"1,625,000,597.00",0.19,0.19
07/06/2021,PMDZ,"100,000,000.00",0.60,0.6
07/06/2021,ATEL,"104,000,000.00",29.48,29.48
07/06/2021,CECZ,"1,625,000,597.00",1.25,1.25
07/06/2021,ZABR,"546,000,000.00",7.23,7.23
07/06/2021,MAFS,"50,000,000.00",2.88,2.88
07/06/2021,ZMBF,"300,579,610.00",1.12,1.12
07/06/2021,SCBL,"1,666,980,000.00",1.34,1.34
07/06/2021,ZSUG,"316,571,385.40",3.20,3.2
07/06/2021,ZMRE,"45,000,000.00",2.80,2.8
07/06/2021,AECI,"20,406,600.00",24.21,24.21
07/06/2021,BATA,"76,107,600.00",2.60,2.6
07/06/2021,CHIL,"200,039,904.00",5.00,5
08/06/2021,REIZ,"56,460,198.00",0.80,0.8
08/06/2021,ZMFA,"27,090,100.00",4.78,4.78
08/06/2021,ZNCO,"1,443,750,041.28",0.70,0.7
